7
4
0 0 8,9000000000E+001
0 1 3,5000000000E+001
0 2 5,3200000000E+002
0 3 4,6900000000E+002
1 0 4,1000000000E+001
1 1 8,5000000000E+002
1 2 9,2800000000E+002
1 3 8,3300000000E+002
2 0 4,2300000000E+002
2 1 3,4300000000E+002
2 2 2,2000000000E+001
2 3 4,6500000000E+002
3 0 2,9400000000E+002
3 1 6,8400000000E+002
3 2 2,6700000000E+002
3 3 4,0100000000E+002
4 0 2,3200000000E+002
4 1 9,7400000000E+002
4 2 9,9700000000E+002
4 3 1,4500000000E+002
5 0 1,0500000000E+002
5 1 6,3100000000E+002
5 2 3,9500000000E+002
5 3 8,3600000000E+002
6 0 5,4400000000E+002
6 1 7,7000000000E+002
6 2 7,4900000000E+002
6 3 4,6000000000E+002
