8
3
0 0 7,6400000000E+002
0 1 4,9700000000E+002
0 2 3,3400000000E+002
1 0 1,7300000000E+002
1 1 8,3600000000E+002
1 2 6,1800000000E+002
2 0 3,8900000000E+002
2 1 4,9600000000E+002
2 2 4,2400000000E+002
3 0 1,1100000000E+002
3 1 4,8500000000E+002
3 2 1,9400000000E+002
4 0 9,7700000000E+002
4 1 1,4900000000E+002
4 2 1,6400000000E+002
5 0 9,8000000000E+002
5 1 7,0000000000E+000
5 2 1,1400000000E+002
6 0 6,2300000000E+002
6 1 7,0400000000E+002
6 2 9,9300000000E+002
7 0 4,2800000000E+002
7 1 7,8900000000E+002
7 2 7,2300000000E+002
