7
4
0 0 1,0000000000E+000
0 1 7,2600000000E+002
0 2 4,8500000000E+002
0 3 8,1100000000E+002
1 0 5,9800000000E+002
1 1 1,1300000000E+002
1 2 9,6900000000E+002
1 3 5,7700000000E+002
2 0 1,0600000000E+002
2 1 3,3100000000E+002
2 2 6,5700000000E+002
2 3 5,4100000000E+002
3 0 1,4700000000E+002
3 1 6,3700000000E+002
3 2 6,5400000000E+002
3 3 4,4000000000E+002
4 0 3,1000000000E+001
4 1 1,4000000000E+001
4 2 9,6200000000E+002
4 3 2,9000000000E+002
5 0 8,3400000000E+002
5 1 6,9000000000E+001
5 2 9,5000000000E+001
5 3 2,4700000000E+002
6 0 8,6300000000E+002
6 1 5,6000000000E+001
6 2 7,6500000000E+002
6 3 3,2600000000E+002
