8
3
0 0 2,1900000000E+002
0 1 2,7200000000E+002
0 2 1,4500000000E+002
1 0 2,5300000000E+002
1 1 1,3800000000E+002
1 2 7,8400000000E+002
2 0 7,6300000000E+002
2 1 4,7900000000E+002
2 2 6,9900000000E+002
3 0 3,8600000000E+002
3 1 4,9900000000E+002
3 2 6,4300000000E+002
4 0 7,5600000000E+002
4 1 9,1500000000E+002
4 2 3,8100000000E+002
5 0 7,6900000000E+002
5 1 1,1000000000E+002
5 2 6,3500000000E+002
6 0 2,7200000000E+002
6 1 8,3300000000E+002
6 2 7,4000000000E+002
7 0 2,4500000000E+002
7 1 7,1000000000E+002
7 2 7,1800000000E+002
